№,Качество
33," Дотошный: в центре внимания - продумывание бизнес-процессов, вдается в детали"
33,"Расхлябанный, не уделяет внимание выстраиванию бизнес-процессов, не продумывает детали "
34," Правильные коммуникации и декодирование информации (четко передает и принимает информацию, хорошо владеет языком)"
34,"Искажение информации, полученной в коммуникации, под свои стереотипы (не может внятно проговаривать и декодировать информацию, дает неправильный инструктаж), плохо владеет языком "
35, Work oriented
35,People oriented 
36, Любит контролировать и быть в курсе всего. Держит в уме весь свой бизнес.
36,"Уделяет внимание тому, что ему интересно. Любит делегировать, ему не нужно быть в курсе всего, для этого есть специальные люди. "
37," Specialist. Узкая специализация: руководит ""одинаковыми"" специалистами. Держит в уме ограниченное количество направлений. Являясь специалистом, расширяет эту экспертизу на близкие направления."
37,"Generalist. Широкая специализация: руководит многими разными непохожими друг на друга функциями, должен в них разбираться. Умение находить общий язык с самыми разными людьми. "
38," Гибкий, подстраивается под изменения, обладает change making ability, готов идти на риск, быстро его оценивая. Работает в турбулентной среде. Быстро внедряет новое, ориентируясь на изменение ситуации."
38,"Имеет стабильный мыслительный процесс, тщательно взвешивает риски. ""Совещается месяца два перед внедрением нового"" "
39," Личностная мотивация связана с соревновательностью, внедрением ноу-хау, uniqness, развитием уникального продукта"
39,"Мотивирован статусом и достижениями, властью, профитом, при этом может предлагать стандартный товар/услугу "
40," Гениальные тимбилдеры, умеют нанимать правильных людей, умеют делать из ярких людей гармоничные команды, дают свободу людям в принятии решений, использовании инструментов достижения цели. "
40,"Авторитарность, не умеет притягивать к себе и удерживать талантливых людей, микроменеджмент, отсутствие доверия команде.  "
41," Знает цифровые технологии, умеет кодить, разбирается в коде, может оценить качество архитектуры системы, качество кода. Обладает глубокой экспертизой и умеет оценить качество продукта и правильность движения компании. "
41,Не имеет профильный skill set.  
42," Строит Data-driven company, важна аналитика, важна архитектура данных, принятие решений на базе этих данных. "
42,"Не видит ценности цифровых технологий, не делает упор на данные, делает упор на другие аспекты бизнеса "
43," Энергия, количество сил и времени, которое уделяют своему бизнесу и развитию, настойчивость, несгибаемость в сложных обстоятельствах. Вкладывает в свой бизнес всего себя."
43,"Равнодушие, бизнес не представляет для него главную жизненную и профессиональную цель.  "
44," Знание предметной области, продукта, рынка, понимание своей ниши. "
44,"Обладание знаниями в несвязанных индустриях, другой бэкграунд.  "
45," Способность видеть зарождающиеся тренды, новые возможности. Либо сверх аналитические способности и работа с большим количеством информации, либо ""чуйка"", которая не поддается объяснению. "
45,"Неспособность увидеть рыночные возможности, принятие ошибочных управленческих решений.  "
46," Sales skills: story telling, способность вселять свое видение в других людей, клиентов и команду"
46,"Примитивность в рассуждениях, очень приземленное понимание роли продукта в жизни клиентов, механическое понимание "
47," Понимание того, что продукт должен обновляться, готовность идти на эксперименты, несмотря на риск, поиск новых ниш"
47,Не готов на себя брать риск по продуктовым экспериментам и изменениям. Консервативен. 
48, Клиентоцентричность. Продукты выстраиваются от потребности клиента. Гибкая среда с точки зрения клиентских инсайтов
48,"Бизнесцентричность. Думает исключительно о том, как заработать больше денег, из-за этого продукты начинают чахнуть "
49," Адаптивность к постоянно меняющимся контекстам, каналам коммуникации, потребностям людей"
49,"Ригидность, невозможность менять свое ценностное предложение под меняющийся контекст "
50," Цифровая грамотность. Знание, умение и быстрое усвоение любых новых появляющихся систем, чтобы лидер сам мог ими быстро пользоваться. Желательно на уровень дальше, чем пользователь, продвинутый пользователь, с пониманием как та или иная технология работает в общем стеке цифровой среды."
50,"Цифровая безграмотность. Человек не интересуется, не желает интересоваться новыми сервисами, веяниями, концепциями, подходами. "
51," 4 к: креативное мышление, критическое мышление,  коммуникация, коллаборация "
51,"Отсутствие мягких компетенций, непризнание этих компетенций как важных и значимых для развития.  "
52, Стратегическое VUCA-мышление с вариантами развития сценариев в зависимости от сложного и постоянного мира. Умеет конструировать принципы поведения в меняющихся контекстах. 
52,"Классический стратег, ригидная стратегия, формируемся в скрижалях, не адаптированная  "
53," Самообразование. Постоянно чему-то учатся, не останавливаются на достигнутом. Внутренний позыв, голод на новые знания, не поручаю кому-то, а искренне сам учусь. "
53,"Потчевать на лаврах. Удовлетворен тем, что знает к определенному своему опыту. "
54," Умение операционализировать. Нужно не только придумать, но еще и воплотить. От красивой идеи не так легко перейти к планированию и реализации. Если человек умеет это делать, он будет успешен. В противном случае ему на TED"
54,Неумение строить конкретные планы и их реализовывать. Оставаться на уровне идеи. 
55," Лидерство. Способность создать команду и увлечь ее за собой, воодушевить, создать атмосферу, когда: а) тебе верят, б) относятся к делу как к своему, горят "
55,"Авторитарный стиль руководства. Я начальник, ты дурак, ты начальник, я дурак. Не тратятся силы и энергия на то, чтобы донести идею и вдохновить на ее воплощение.  "
56," Умение слушать и слышать в диалоге со стейкхолдерами. Нужно находить компромиссы, уметь понимать другую сторону, работать не через давление, а через сотрудничество. Договаривается. Выходить на win-win ситуации. "
56,"Идти напролом. Навязывать свою точку зрения. Не прислушиваться, не проявлять эмпатию. Не считает нужным учитывать другие мнения.  "
57," Цифровой онлайн рынок. Не опирается на связи, а опирается на создание удобных сервисов и их монетизации. Бизнес развивается, так как его покупают, а покупают его, так как удобно. "
57,"Превалирует решение вопросов оффлайн через связи. Лобби, зайти в кабинет к кому-то и решить тет-а-тет вопрос. Без личного знакомства нельзя решить вопрос. Развитие бизнеса держится на связях. Ушел человек со связями, просел бизнес.  "
58," Драйв от изменений. Человек жаждет изменений, получает кайф от них. "
58,"Страх изменений. Все, что меняется, вызывает панику и страх. Сопротивляются трансформациям из-за своих внутренних качеств. Не хотят выходить из зоны комфорта.  "
59," Умение видеть масштаб, мыслить масштабно, взвешивая риски и возможности безграничных платформ и систем (и государственные границы и масштабирование того, что создается). Цифровой дубликат не стоит ничего, отсюда риски и возможности. Как изменить стандарты индустрии. Sky is your limit"
59,"Живут в заданных рамках. Люди, которые мыслят границами своего подразделения/отдела/департамента/компании/индустрии. Реагируют на проблему, не действуют проактивно.  "
60," Умеют сказать сложное простым языком. Используют чувство юмора как инструмент доверительных коммуникаций. Способность быстро сопоставлять, делать краткие и емкие замечания. Быстро из контекста происходящего выдернуть суть, и обернуть в фантик. Остроумие в коммуникациях."
60,"Говорят скучно, бюрократическим языком, научным языком, не умеют удерживать внимание, и снижать напряжение. При общении с ними не возникает чувства доверия.  "
61," Прозрачная приоритезация (что попадет в следующий релиз). Все завязано на текущий ресурс разработки. Важно фокусироваться правильно. Важно в цифре особенно, так как сервисы завязаны друг на друга. Нужно правильно понимать, куда направлять ресурсы. Нужно балансировать между мотивацией сотрудников/бизнеса/стейкхолдеров. "
61,"Хвататься за все. Не получится сделать все сразу. Если пытаться все сразу сделать, то не получится ничего. Не понятно, за что браться в первую очередь, хаос и отсутствие качественных результатов.  "
62," Умение работать с IT-стартапами как генераторами новых идей, инкубаторами, стартап-скаутинг, talant-скаутинг. Умение работать именно с такими командами, умение вдохновлять и коучить ребят, которые организуют стартапы, а иногда и подстегивать.  Multigenerationl подход, умение выглядеть релевантным для молодых поколений, адекватный для этого поколения performance managment. "
62,"Авторитарность, директивность, формализм, административность, инновационным хабом невозможно управлять директивно, стартапы будут убегать, или не будут замотивированы.  "
63," Продуктовое визионерство: не только что будет, но и что НЕ будет востребовано. Понимание необходимости строить стратегию не на cash cow (при всем уважении к ним). Чувствительность к рискам и возможностям."
63,Традиционализм в области организации работы 
64," Заточен на сотрудничество в компании, достижение своих результатов нетоксичными способами. Важно как добиваться цели. Этичность"
64,"Идет напролом, важен результат любой ценой. Этика на втором плане "
65," Развитие продукта через customer journey (от того, что нужно клиенту)"
65,"Развитие продукта исходя из того,  что уже есть в Компании. Умеем это делать и будем развивать. "
66," Опыт участия в проектах построения информационных систем, который приводит к глубокому пониманию принципов построения таких систем."
66,Отсутствие понимания базовых принципов построения информационных систем 
67," Высокая скорость мышления, погружение в новые области, умение нырять в любую предметную область и там уже быстро соображать. "
67,"Неспособность изучать что-то новое, неспособность воспринимать новую информацию.  "
68," Эмпатия, умение понимать эмоции людей и уважать их, человеколюбие, без этого трудно извлекать максимальный творческий потенциал из людей. "
68,"Считают, что все люди плохие и лентяи, по умолчанию не любят людей, не волнуют чувства и мысли сотрудников, интересуют человекочасы. Относятся к айтишникам как к строителям или землекопам, что в этой сфере это не очень работает.  "
69, Адаптивность к окружающей среде. 
69,"Ограниченность своим предыдущим опытом, косность.  "
70," Умение находить неординарные решения, и управленческие, и технические. Способность находить решения, которые до тебя никто не находил."
70,Шаблонное мышление. Неспособность генерировать уникальные решения.  
71," Способность управлять глубиной своего стратегического мышления. Умеет как мечтать, так и оперировать среднесрочными перспективами. Оперирует образом будущего, которого еще не существует. "
71,"Мыслит категориями и задачами сегодняшнего дня. Максимально ограничен, не думает вперед. Максимум шкалы планирования ограничен коротким промежутком времени. "
72," Умение оперировать цифрами, мыслить статистическими и вероятностными категориями. Способность оцифровывать события и объекты реального мира и на основе этого принимать решения. "
72,"Мыслить только категорией чувств, эмоций, ощущений, вдохновений. Не способен или не привык перекладывать реальность на цифру в процессе мышления, и использовать это в принятии решений.  "
73," Интеллект. Быстрый ум, умение обрабатывать большой объем информации и выхватывать суть. Четко формулировать проблему. Умение делать правильные выводы. Гибкость. Умение перестраиваться и понимать свою неправоту. Curiosity, кругозор в профессиональной среде. Learning agility. Незашоренность."
73,Экспертиза вглубь. Меньшая скорость и гибкость интеллекта. Накопленная экспертиза. 
74," Умение ""продать"" идею, завести народ вокруг. Умение вовлечь. Готовность трансформировать идею на основе фидбека."
74,"Опора на административные инструменты, а не на то, чтобы убедить, сопровождающееся полной уверенностью в своей правоте. Важно донести видение. "
75, Гибкость и скорость мышления и действий. Готовность быстро воплощать решения.
75,"Согласование с политикой, концепцией. Длительная оценка качества решений перед воплощением. "
76, Чуваки из интернета. Digital native.
76,Finance native. 
77," Про продукт. Важно что-то создать для людей, которое поменяет жизнь этих людей."
77,Про личные амбиции и любовь к компании. Важен бизнес-успех. 
78," Серый кардинал, политик."
78,Амбиция и харизма. 
79," С фокусом на человека (сотрудника). Ориентация на удержание и развитие сотрудников, но то, чтобы сотрудники вовлекались."
79,"Жесткий. Эмоции людей вторичны. Не стесняются увольнять, менять оргструктуру. "
80," Инициирует большое количество коммуникаций. Чем больше у человека нетворкинг в своей профессиональной сфере, тем больше возможностей для него это генерирует"
80,"Ведет закрытый образ жизни, затворник, в своей скорлупе, бронзовеет, не происходит трансформации мышления, соответственно не растет внутренне, сложно создавать актуальные продукты "
81," Лучше умеет управлять рисками. Чаще берется за рискованные мероприятия. Оценивает риски и возможности, и готов пробовать, искать новые возможности. "
81,"Между рисками и возможностями, пытается максимально себя обезопасить. Предпочитают оставить все как есть, пусть работает, как работает. Лучше будет терпеть неудобства, чем пробовать что-то новое. Залезть в домик, обезопасить себя. "
82," Высокий уровень зрелости. Широта кругозора в целом, широта взглядов. Разбирается не только в своей предметной области, но и в сопутствующих областях. Количество собственного пережитого опыта, разнообразие нетиповых проблем, с которыми сталкиваются."
82,"Низкий уровень зрелости. Разбирается пусть даже и хорошо, но в своей предметной области, о других областях знает только в теории. Однообразный жизненный опыт, в одном замкнутом контексте, например на одной позиции, в одном городе, в одной отрасли, в одной функциональной сфере.  "
83," Знание методологий. Есть типовые фреймворки, например проектные или продуктовые. Знание базовых управленческих принципов в основе этих фреймворков позволяет запускать любые продукты и проекты. Если я обучился им и попробовал, то я смогу масштабировать эти знания на любые продукты/проекты."
83,"Незнание методологий. Если принципиально не знает, как устроена проектная или продуктовая деятельность, сложно управлять процессами создания или созидания чего-либо. Без базового понимания принципов построения проектов, любе ресурсы будут тратиться неэффективно.  "
84," Готовность к изменениям. Внешняя среда всегда изменяется, нет такого успешного бизнеса, который бы не подстраивался под внешние изменения. Должен оценивать внешние изменения и подстраивать свой бизнес под них"
84,"Неготовность к изменениям. Закукливаются под влиянием внешних изменений, и не вносят изменения в свой бизнес под внешним влиянием. "
85," Создает команду, умеет делегировать. Умеет мотивировать людей и делать из них команды для решения конкретной задачи. Понимают, какого человека, куда поставить, чтобы это было эффективно и для человека и для решения задачи. Здесь как раз помогает широкий нетворкинг"
85,"Неумение создавать команды и делегировать. Решение любого уровня задач  (стратегического, операционного и пр) решается только единолично. Микроменеджмент. Ставит неправильных людей на неправильную позицию, не мэтчит задачу и скиллы человека. "
86, Умеют выстраивать взаимоотношения с людьми и разбираются в политике принятия решений
86,"Не умеют договариваться с людьми и не понимают, с кем нужно дружить, а с кем нужно конкурировать. "
87," Принятие решений на уровне цифр и фактов. Изучаются факты, цифры и логики перед принятием решений. Постоянный учет новых обстоятельств даже в типовых процессах."
87,"Решения на уровне регламентов, выработанных годами. Опора на готовые процессы и решения. ""Так исторически сложилось"" "
88," Готовность к изменениям. Поиск новых возможностей для улучшений, поиск возможностей, рассмотрение нескольких сценариев развития. Вариативность, в том числе по отношению к образу результата."
88,"Довольствуется достигнутым, нет тяги к новым достижениям. Стремление к четкому результату. (10000 банок в сутки) "
89," Амбициозность, стремление к результатам, которые, возможно, превышают текущие возможности. Постоянный поиск возможностей, ресурсов и инструментов для решений."
89,Довольствуется текущими достигнутыми результатами. Новые инструменты и возможности начинает рассматривать только если уже перестали работать старые. 
90," Четкая и широкая картина будущего на 2-5 лет вперед, построенная на фактах. Смотрит на картину всего мира и свое место в ней.  Визионер. Есть связь между картиной будущего и планом ее достижения."
90,"Четкая, но узкая картина будущего, не захватывает сферы вокруг. Смотрит на конкретный рынок. "
91," Не считают команду инструментом. Считают, что команду нужно растить, развивать, мотивировать, что эмоциональное состояние команды важно. Индивидуальный подход к членам команды. Опираются на команду как на основной ресурс."
91,"Команда как инструмент. Отсутствие индивидуализации, четкие регламенты, которые не учитывают личностные особенности членов команд. (Все должны писать правой рукой) "
92," Верит в цифровые инструменты. Понимает ценность классических инструментов и видит, как цифровые и классические инструменты могут дополнять друг друга. Умеет оцифровать эффективность классических инструментов."
92,"Желание работать только с классическими инструментами. Рассматривает диджитал инструменты как факультативный инструмент, не видит в них ценности. "
93," Доверие и открытость к команде: доверяют больше информации, больше рассказывают команде. Отсутствие микроменеджмента. Делегирование задач."
93,"Микроменеджмент. Не дают ""лишней"" информации команде. Отсутствие погружения команды в более высокоуровневую задачу. "
94," Человечность, общается со всеми на одном уровне. Не делает ранжирования по уровню компетенций и статуса. Стремится принимать командные решения."
94,"Особое внимание к статусу. Подход ""Я начальник, ты - дурак/ты начальник, я - дурак"". Директивное принятие решений. "
95," Подбирает в команду таких людей, которые компенсируют слабые черты самого топа."
95,"Подбирает команды, стремясь закрыть текущие задачи, дыры, ""горящие"" вещи. "
96," Гибкость, адаптируемость под текущие условия рынка. Готовность принимать нестандартные решения."
96,Ценность - показать свою компетентность через уже отработанные инструменты. 
97, Четкость и организованность. 
97,"Отсутствие процессов, дезорганизованность, неструктирированность.  "
98," Эффективная работа с данными. Умение отличать зерна от плевел. Понимает на какие данные реально можно основываться, а какие для вида. Данные надежные, собранные из достоверных источников, могут служить основой для принятия решения. "
98,"Неэффективная работа с данными. Поверхностный подход к работе с данными, небрежность в отношении надежности информации. Не умеет распознать некачественные данные при выработке управленческих решений. "
99," Цифровая грамотность. Знание современных (цифровых) методов, технологий и процессов применяемых в бизнесе. "
99,"Отрицание эффективности цифровых процессов в пользу классических методов, иногда устаревших. Отсутствие цифровой грамотности.  "
100," Умение принимать своевременные решения. Управленческая смелость, берет на себя ответственность за принятые решения. Ownership. "
100,"Управленческая нерешительность. Сложность в принятии решения, затягивание решения, возврат к предыдущим версиям.  "
101," Визионерство. Смотрит в будущее, мыслит категориями будущего. Forward-looking and future-oriented. Планирование желаемого результата. ""Мы хотим сделать 200, и мы думаем, что нам нужно для того, чтобы сделать 200"". Прорывные действия."
101,"Консерватизм. Основывается на предыдущих результатах. Планирование от достигнутого. ""Мы в прошлом году сделали 100, в следующем, значит, будем делать 105"". Небольшие шаги. "
102," Сильный лидер, собирающий команду сильных партнеров, а не подчиненных.  Дает свободу команде, но строго спрашивает с них и себя."
102,"Собирает команду людей, которые от него зависят (""смотрят им в рот"", не требовательны к результату и себе. Четкая иерархия подчинённости.  "
103, Развитие подчиненных и саморазвитие как ценность. Культура непрерывных улучшений. Развитие - приоритет.
103,"Консервативная основа на существующих знаниях, небрежность в освоении нового. Все равно, будут ли подчиненные развиваться или нет. Иногда даже препятствие развитию подчиненных в угоду текущим задачам.  "
104," Сильный продакт-оунер, понимает цикл создания и развития продукта, его технические характеристики в связи с потребительской ценностью"
104,"Думает о технической стороне вопроса, а не о потребителе (думает о том, сколько усилий уйдет на починку того, что сломается) "
105," Умеет слушать аргументацию в пользу изменения решения о продукте, открыт к альтернативным точкам зрения"
105,"Имеет свое строгое виденье того, как должно быть (я художник, я так вижу) "
106," Идеалист, перфекционист, отличник, ""ботан"". Внимателен к деталям. Много учился и хотел быть в этом идеален. Фокус на красоту."
106,"Не важны детали, важно, чтобы быстро и недорого. Закрывают глаза на качество не основных элементов интерфейса. Нет скрупулезного причесывания мелочей. "
107," Могут просто, доходчиво объяснять сложные технические вещи не профессионалу. Быстро строят понятные модели сложной реальности, ориентируясь на собеседника"
107,Уход в технические подробности при объяснении (несмотря на стеклянный взгляд собеседника). Не умеет и не стремится структурировать информацию для другого. 
108," Человек смог успешно освоить две области знаний, поженить маркетинг, road to customer и IT-бэкграунд, цифровой опыт"
108,Проваливается client orientation или tech skills 
109," Ценность личной экспертизы и включенности. Не только управленец, но и хороший профессионал-специалист. Сидит с командой и разбирается в причинах, по которым дело не идет. Неклассический менеджер, а старший среди равных."
109,"Может не быть экспертом, не вовлеченным в специфику продукта, ставить формальные задачи команде. Управляет по PDCA. "
110," Умение работать с неопределенностью, неполными данными, нечетко заданными ориентирами, стратегией и т.п. Готовы рисковать и принимать решение, исходя из неполных данных. Готовы к провалам."
110,"Бездействуют в ситуации отсутствия вводных. Низкая толерантность к неопределенности. Дискомфортно работать, пока нет всех вводных. Долго принимает решение, пытаясь учесть полный набор данных. Не готовы к провалу. "
111," Толерантность к критике. Готов ошибаться, и его это не убивает."
111,Ошибка равносильна смерти. 
112," Высокий интеллект: широкий кругозор, способность обобщать и делать исследовательскую работу, просчитывают разные стратегии. За каждым решением стоит сложная система вычислений. Работа ""в конструкторском бюро"", работа с концепцией."
112,"Оперативно решают в срок рутинные задачи. Хорошо координируют и договариваются. Могут быстро принимать ситуативные решения. Работа ""начальника цеха"" с опорой на готовые знания. "
113," Хваткие коммуникативно, сильны в личной беседе, знают тонкости корпоративной политики, похожи на российских государственных чиновников. "
113,"Прямой,  ничего не понимает в корпоративной политике. Командный, состоит в искренних и доверительных взаимоотношениях с командой, отсутствуют подковерные игры.  "
114," Сильная команда замов, много инициативы. Доверительные отношения, контроль по KPI, а не по процессам. Контроль того, что важно, а не того, как сделано. Спокойно относится к тому, что подчиненные превосходят по компетенциям, старается подбирать именно таких людей. "
114,"Все на личном контроле, не умеет делегировать. Когда кто-то проявляет серьезную инициативу, которая не соответствует ожиданиям топа, будет скандал. Наказывающая корпоративная культура. Все друг друга перепроверяют все время, пытаются делать все по правилам. Авторитарность управления. Неуверенно чувствует себя с людьми, которые превосходят по компетенциям, так как не может перепроверить результат, и боится, что подсидят.  "
115," Успешен за счет хорошей школы жизни и предпринимательского склада ума. Сделал себя сам за счёт своей гибкости, оперативности, многозадачности, изобретательности. "
115,"Успешен за счет образования и корпоративной подготовки, тренинги, коучинги и пр. Есть понимание того, как работает большая корпорация, когда это публичная компания и есть западные владельцы. Здоровая корпоративность, не та, которая утяжеляет бизнес, а та, которая накладывает свои условия. Наличие MBA.  "
116," Стартап-мышление, важно понимать, что такое MVP, custdev, market fit, pivot (постоянная боевая трансформация продукта), agile, backlog и пр. Специфичная разработка продукта и специфичное управление разработкой. "
116,Отсутствие навыков управления продуктовой разработкой 
117," Продажа за счет связей, большая записная книжка, ""сходить в баню"", все на сильных личных связях. Публичность в социальных сетях, умение торговать лицом. Может начать разговор с того: ""что ты можешь у меня купить"", ""чем можешь быть полезен"". Дельцы в хорошем и плохом смысле"
117,"Продажа за счет качества продукта. Больше внимания уделяет продукту, качеству, эффективности, порядку.  "
118," Системность и последовательность. Способность ясно и структурированно выражать свои мысли, цели, задачи. "
118,Истеричность в принятии решений и непоследовательность в их реализации. 
119," Адекватность. Здравая и прагматичная оценка ситуации, совершает действия сообразно внешним условиям. Создание сценариев и выбор сценария, возможность своих действий. "
119,"Неадекватная оценка времени и ситуации, действия исходя из собственных соображений, без учета внешних обстоятельств, неправильная оценка последствий. Непредсказуемость, неуверенность, поведение, не соответствующее текущему моменту времени. Агрессивное невежество. "
120," Энергия созидания, способность вдохновлять, заряжать. "
120,"Унылая какашка. Всегда все плохо, всегда нытье. Негативное настроение.  "
121," Длинный горизонт планирования. Игра в долгую, думать на перспективу. "
121,"Короткий горизонт планирования. Решения сиюминутные, выгода в моменте, рвачество.  "
122," Эмпатия. Умение располагать, стремление достигнуть ситуации win-win, договороспособность. "
122,"Пренебрежительность, уничижительность, ультимативность, ""я всегда прав"", не задумывается о том, как он будет воспринят.  "
123," Способность принимать сложные решения (долгосрочные, высокорисковые, затрагивающие интересы людей; ответственные), проактивность в принятии решений. "
123,"Поиск легкого пути, избегание принятия решения, надежда, что все само собой разрешится (""Авось пронесет"",  ""Я в домике""), не рисковать, перекладывать сложные вопросы на других.  "
