Черновые ID;Значение 
ПН83;Принципы объектно-ориентированного программирования и понимание Web-технологий 
ПН84;Автономность 
ПН85;System Design 
ПН86;Асинхронное программирование 
ПН87;Ревью кода 
ПН88;Информационная безопасность 
ПН89;Простота кода 
ПН90;Разработка технической документации 
ПН91;Архитектура компьютеров и операционных систем 
ПН92;Принципы объектно-ориентированного программирования и понимание Web-технологий 
ПН93;Автономность 
ПН94;System Design 
ПН95;Асинхронное программирование 
ПН96;Ревью кода 
ПН97;Информационная безопасность 
ПН98;Простота кода 
ПН99;Разработка технической документации 
ПН100;Архитектура компьютеров и операционных систем 
ПН101;Набор текста в редакторе
ПН102;Набор команд в консоли
ПН103;Базовое знание языка программирования
ПН104;Базовые знания алгоритмов
ПН105;Программирование
ПН106;Тестирование
ПН107;Деплой через CI/CD
ПН108;Программирование
ПН109;Тестирование
ПН110;Отладка
ПН111;Деплой через CI/CD
ПН112;Инструменты код-ревью
ПН113;Заведение мониторингов
ПН114;Работа с БД
ПН115;Программирование
ПН116;Тестирование
ПН117;Отладка
ПН118;Деплой через CI/CD
ПН119;Инструменты код-ревью
ПН120;Заведение мониторингов
ПН121;Работа с БД
ПН122;Прототипирование
ПН123;Инструменты код-ревью
ПН124;Работа с БД
ПН125;Архитектура
ПН126;Собеседования
ПН127;Перфоманс-ревью
ПН128;Фасилитация
ПН129;Архитектура
ПН130;Бюджетирование
ПН131;Архитектура компьютеров и операционных систем
ПН132;Владение английским языком
ПН133;Написание кода
ПН134;Отладка кода
ПН135;Сетевые технологии
ПН136;Базы данных
ПН137;Go
ПН138;Автономность_backend
ПН139;Понимание Web-технологий
ПН140;Многопоточность
ПН141;Проектирование кода
ПН142;Обработка данных
ПН143;Выбор алгоритмических решений и оптимизация (профилирование)
ПН144;Владение дополнительными языками программирования
ПН145;Оценка реализации функционала
ПН146;Использование инструментария операционной системы
ПН147;Go
ПН148;Написание кода
ПН149;Отладка кода
ПН150;Архитектура компьютеров и операционных систем
ПН151;Автономность_backend
ПН152;Проектирование кода
ПН153;Сетевые технологии
ПН154;Базы данных
ПН155;Многопоточность
ПН156;Владение английским языком
ПН157;Понимание Web-технологий
ПН158;Владение дополнительными языками программирования
ПН159;Выбор алгоритмических решений и оптимизация (профилирование)
ПН160;Оценка реализации функционала
ПН161;Ревью кода
ПН162;Обработка данных
ПН163;Использование инструментария операционной системы
ПН164;Go
ПН165;Написание кода
ПН166;Отладка кода
ПН167;Автономность_backend
ПН168;Выбор алгоритмических решений и оптимизация (профилирование)
ПН169;Сетевые технологии
ПН170;Многопоточность
ПН171;Понимание Web-технологий
ПН172;Владение дополнительными языками программирования
ПН173;Архитектура компьютеров и операционных систем
ПН174;Оценка реализации функционала
ПН175;Проектирование кода
ПН176;Базы данных
ПН177;Ревью кода
ПН178;Владение английским языком
ПН179;Обработка данных
ПН180;Использование инструментария операционной системы
ПН181;разработка (python, знание linux, bash, git, паттернов проектирования, структрур данных и IDE)
ПН182;знание web-технологий
ПН183;функциональное тестирование, работа с баг-трекером
ПН184;скорость и предсказуемость тестирования
ПН185;разработка тестовых сценариев, тестирование и анализ результата
ПН186;отладка кода
ПН187;разработка (python, знание linux, bash, git, паттернов проектирования, структрур данных и IDE)
ПН188;знание web-технологий
ПН189;функциональное тестирование, работа с баг-трекером
ПН190;скорость и предсказуемость тестирования
ПН191;разработка тестовых сценариев, тестирование и анализ результата
ПН192;отладка кода
ПН193;командное мышление
ПН194;разработка (python, знание linux, bash, git, паттернов проектирования, структрур данных и IDE)
ПН195;знание web-технологий
ПН196;функциональное тестирование, работа с баг-трекером
ПН197;скорость и предсказуемость тестирования
ПН198;разработка тестовых сценариев, тестирование и анализ результата
ПН199;отладка кода
ПН200;командное мышление
ПН201;оптимизация тестирования
ПН202;разработка (python, знание linux, bash, git, паттернов проектирования, структрур данных и IDE)
ПН203;знание web-технологий
ПН204;функциональное тестирование, работа с баг-трекером
ПН205;скорость и предсказуемость тестирования
ПН206;отладка кода
ПН207;командное мышление
ПН208;оптимизация тестирования
ПН209;управление инцидентами
ПН210;прогнозирование проблем на основе имеющихся данных и метрик
ПН211;разработка (python, знание linux, bash, git, паттернов проектирования, структрур данных и IDE)
ПН212;знание web-технологий
ПН213;функциональное тестирование, работа с баг-трекером
ПН214;скорость и предсказуемость тестирования
ПН215;отладка кода
ПН216;командное мышление
ПН217;оптимизация тестирования
ПН218;управление инцидентами
ПН219;прогнозирование проблем на основе имеющихся данных и метрик
ПН220;
ПН221;Уверенное знаниче Python/Go
ПН222;Хорошее знаниче SQL
ПН223;Написание unit-тестов
ПН224;Работа с git
ПН225;Опыт разработки на Python/Gо не менее 2-х лет
ПН226;Отличные знания SQL, умение оптимизировать запросы и писать сложные SQL запросы
ПН227;Code review
ПН228;Опыт разработки на Python/GO не менее 2-х лет
ПН229;Отличные знания SQL, умение оптимизировать запросы и писать сложные SQL запросы
ПН230;Code review
ПН231;Проактивность
